block,time,difficulty
1,1746324724,4.656542373906925e-10
2,1746324734,4.656542373906925e-10
3,1746324744,4.656542373906925e-10
4,1746324754,4.656542373906925e-10
5,1746324764,2.328273129816194e-09
6,1746324775,2.328273129816194e-09
7,1746324785,2.328273129816194e-09
8,1746324795,2.328273129816194e-09
9,1746324805,2.328273129816194e-09
10,1746324815,2.328273129816194e-09
11,1746324817,2.328273129816194e-09
12,1746324819,2.586970144240215e-09
13,1746324821,2.87441169441123e-09
14,1746324823,3.193792599490641e-09
15,1746324825,3.548659411034126e-09
16,1746324827,3.942958483211169e-09
17,1746324829,4.381067438182097e-09
18,1746324831,4.8678545289717e-09
19,1746324833,5.408730250103814e-09
20,1746324835,6.009708599272631e-09
21,1746324855,6.677453999191812e-09
22,1746324875,6.070414613282813e-09
23,1746324895,5.518558739348012e-09
24,1746324915,5.016876735920711e-09
25,1746324935,4.560797032655191e-09
26,1746324955,4.146179560686904e-09
27,1746324975,3.769257055775941e-09
28,1746324995,3.426600028733636e-09
29,1746325015,3.11509118363327e-09
30,1746325035,2.83190251317664e-09
31,1746325045,2.574457169510597e-09
32,1746325055,2.574457169510597e-09
33,1746325065,2.574457169510597e-09
34,1746325075,2.574457169510597e-09
35,1746325085,2.574457169510597e-09
36,1746325095,2.574457169510597e-09
37,1746325105,2.574457169510597e-09
38,1746325115,2.574457169510597e-09
39,1746325126,2.574457169510597e-09
40,1746325136,2.574457169510597e-09
