block,time,difficulty
1,1746325790,4.656542373906925e-10
2,1746325800,4.656542373906925e-10
3,1746325810,4.656542373906925e-10
4,1746325820,4.656542373906925e-10
5,1746325830,2.328273129816194e-09
6,1746325840,2.328273129816194e-09
7,1746325850,2.328273129816194e-09
8,1746325860,2.328273129816194e-09
9,1746325871,2.328273129816194e-09
10,1746325881,2.328300885352104e-09
11,1746325883,2.328300885352104e-08
12,1746325885,1.164150442676052e-07
13,1746325887,5.820754923915388e-07
14,1746325889,2.910384238314447e-06
15,1746325899,1.455200589672193e-05
16,1746325903,1.455200589672193e-05
17,1746325925,3.638001577580928e-05
18,1746325931,1.653660004317669e-05
19,1746325962,2.756145585168782e-05
20,1746325965,8.890808019728448e-06
21,1746326008,2.963620239496584e-05
22,1746326040,7.409050598741461e-06
23,1746326061,2.315331528607371e-06
24,1746326081,1.102539674074307e-06
25,1746326102,5.512698370371537e-07
26,1746326122,2.625094875555315e-07
27,1746326142,1.312547437777657e-07
28,1746326162,6.562819884669396e-08
29,1746326183,3.281409942334698e-08
30,1746326203,1.562576163016523e-08
31,1746326213,7.812880815082615e-09
32,1746326223,7.812880815082615e-09
33,1746326233,7.812880815082615e-09
34,1746326243,7.812880815082615e-09
35,1746326253,7.812880815082615e-09
36,1746326263,7.812880815082615e-09
37,1746326273,7.812880815082615e-09
38,1746326283,7.812880815082615e-09
39,1746326293,7.812880815082615e-09
40,1746326303,7.812880815082615e-09
